"","Date","NZU","EUA","KAU","CEA","HBEA","ACCU","UKA","WCA","CCA"
"3819",2021-11-01,40.3824730783513,56.92,22.3960887353529,5.71794181034483,5.55495689655172,23.1886878121554,60.880829015544,NA,27.3306910218852
"3820",2021-11-02,40.0773908236595,59.43,22.5751834233653,5.72604588394062,5.67611336032389,22.9446120274694,60.8163745441713,NA,27.4337047594368
"3821",2021-11-03,40.2479644707624,59.8,22.5784766469866,5.70084033613445,5.70218487394958,23.0917254650417,60.9597924773022,NA,27.3557278208441
"3822",2021-11-04,40.1549624892387,59.85,22.6274068991694,5.72715833908349,5.30502902139059,23.0621396540679,62.9967274427302,NA,27.2160664819945
"3823",2021-11-05,40.1945094177028,59.39,22.8404099560761,5.76899687833619,5.64737361315693,23.6815156169995,63.0472854640981,NA,27.1658308836244
"3824",2021-11-08,40.3365503588221,60.62,23.022276793545,5.74908187513502,5.48309570101534,23.7042731757319,63.416061812222,NA,27.3001898843432
"3825",2021-11-09,40.0959350593444,60.41,23.3549067267988,5.76769926435851,5.54093271242492,23.5473811493668,63.9106537247106,NA,27.6076266068501
"3826",2021-11-10,40.1329558045057,63.15,23.599644167359,5.83043448605143,5.56442261782962,23.6225499585009,65.1828484636056,NA,28.7593657431608
"3827",2021-11-11,39.8675171736997,63.69,24.1535188796313,5.8080566452971,5.6057520127944,23.5638772130939,65.981308411215,NA,29.5109170305677
"3828",2021-11-12,39.8867413517173,63.26,24.5152498185427,5.84295517113859,5.63613702044897,23.7103492470362,66.799531066823,NA,29.5196506550218
"3829",2021-11-15,40.2730375426621,65.92,25.3495788698994,5.88711225693206,5.62244590109981,23.915713269989,69.6483360868539,NA,30.9668338171901
"3830",2021-11-16,40.2149740548554,67.54,25.0746268656716,5.9649510752391,5.58350378683178,24.5256228217374,69.8386331276697,NA,30.3472038165916
"3831",2021-11-17,40.2572506338507,67.15,24.6976410010777,5.97445063319201,5.54908969989193,24.4027742101207,71.7893733619252,NA,30.2323526813323
"3832",2021-11-18,40.2305975700471,69.09,23.7308813902279,5.94449418084154,5.23793127195097,25.1280409731114,74.1246290801187,NA,30.6711232298355
"3833",2021-11-19,40.2730375426621,69.35,22.3880597014925,5.97286197902214,4.91841944614019,25.1731657260133,75.5867985225783,NA,30.6963146704465
"3834",2021-11-22,40.1288085211791,69.9,22.5140993612279,6.00368170027613,4.29392240537751,25.2411575562701,77.8175313059034,NA,30.7993590884814
"3835",2021-11-23,40.0939025143634,69.17,22.4342675959439,5.98953986535359,4.32732431981305,25.2216938696826,79.3981206137742,NA,30.3574604303752
"3836",2021-11-24,39.8575201130013,72.9,24.0429768210677,6.00159260138864,4.47325407580224,25.7102455328448,81.9155264723379,NA,26.3642046976869
"3837",2021-11-25,39.7539478516342,74.45,24.8933410312741,6.00318604846147,4.57365640982644,25.6624109835119,83.7474735465462,NA,NA
"3838",2021-11-26,39.127027189968,72.77,24.7088937221655,5.92161631795694,4.62397390895774,25.6418323684873,81.6434803112474,NA,26.9947866042237
"3839",2021-11-29,39.28916827853,74.18,24.9596405216602,5.96915288652768,4.78839547724017,25.7862431183952,82.2814675002949,NA,28.1197413869454
"3840",2021-11-30,39.1165673707649,75.36,25.0611611671341,5.94011479150819,4.64559850632736,26.0858633477906,85.6740584301302,NA,27.3465067043049
"3841",2021-12-01,41.207964867954,76.8,24.3212202646809,5.96267258724762,4.60140151252342,26.0547463586138,80.2768978059369,NA,26.6542980828695
"3842",2021-12-02,41.2719483497255,79.85,24.3682310469314,5.94284447154697,4.53751697757574,26.0547463586138,81.0101247939722,NA,23.8251172670148
"3843",2021-12-03,40.7517899761337,78.24,24.2709355546733,5.95528680794408,4.48518806168867,25.6711616973896,80.7300807300807,NA,24.2552815345178
"3844",2021-12-06,40.8291457286432,81.24,24.1698192517865,5.94726820386663,4.49207077235264,25.9277770835937,82.6317027281279,NA,25.3876827647319
"3845",2021-12-07,41.2395996623659,84.89,24.5153503809308,5.87349607550642,4.57416107850381,26.2243285939968,83.7037037037037,NA,26.6447660481222
"3846",2021-12-08,40.9309309309309,88.88,24.983119513842,5.77389076121773,4.43834777038131,26.6936555126826,86.6790870982767,NA,27.8081467113384
"3847",2021-12-09,41.0097484655193,80.19,25.6319670467614,5.77294384020225,4.30470475476101,27.0638136237022,85.3061702376771,NA,27.3025150549061
"3848",2021-12-10,40.8910772186862,83.73,26.1292085619951,5.93246247915509,4.42745969983324,27.1015595283378,85.7544846992613,NA,27.035629033684
"3849",2021-12-13,40.7185628742515,82.12,26.1045828876605,5.98097784461991,4.73047304730473,27.8005939217792,85.8950328022493,NA,26.2341575822033
"3850",2021-12-14,40.7924709267474,79.48,26.1585854876065,5.9890347511893,4.43771710774124,28.8752840191871,84.9118683901293,NA,25.6551479079684
"3851",2021-12-15,40.9284727643985,80.5,26.1821228465204,6.01044080288099,4.45129951704308,29.0642271774347,87.2062969924812,NA,26.4953478068232
"3852",2021-12-16,40.9014524066739,84.77,25.3008193000603,6.14602009756911,4.44759482411152,29.8015344619872,93.1655099400071,NA,26.2358757062147
"3853",2021-12-17,40.8448172558418,73.28,26.2223354361149,6.48695241140569,4.4891490219522,30.2751711894497,89.5102425241347,NA,25.8119049737521
"3854",2021-12-20,40.7908056928482,79.38,26.2824336415151,6.83065042570036,4.48756232725454,30.587790110999,89.8817191708631,NA,25.7738359201774
"3855",2021-12-21,41.0720709917256,80.42,26.3132429676276,6.89007072450855,5.11499693712758,31.0775670704636,92.276948395439,NA,26.2518833643534
"3856",2021-12-22,41.1831900438887,76.26,26.0426327543608,6.85543757373864,5.37164272329794,31.2141674098611,90.5896226415094,NA,26.6778523489933
"3857",2021-12-23,41.2849566055931,73.92,26.135712105079,6.87889427013225,5.22335243751821,32.6128660954086,89.3914278948615,NA,26.8008474576271
"3858",2021-12-24,41.2473636637541,NA,26.0769792427245,6.87491323059836,5.07705122865473,NA,89.4126006631928,NA,26.8268975876999
"3859",2021-12-27,NA,76.38,25.9896934854488,6.67452503120233,5.07141866592706,32.5941074966447,89.4849276050321,NA,27.3377483443709
"3860",2021-12-28,NA,78.75,26.0492255937363,7.18905161263404,5.06668891948652,32.6003579647149,89.5699691138038,NA,28.7735431956849
"3861",2021-12-29,41.0942395758014,79.81,26.0711097887533,7.83749377317762,5.15304145679969,32.6024419868312,89.7527341892535,NA,29.0623898484314
"3862",2021-12-30,41.1136583011583,79.61,26.0658403820019,7.90808548382626,5.04892313662444,32.6567202407633,89.6946564885496,NA,29.3650092731608
"3863",2021-12-31,41.0151551599711,79.61,NA,7.5105274822695,5.20556294326241,32.5941074966447,88.8095238095238,NA,29.5742434904996
"3864",2022-01-03,NA,83.52,26.0507507217765,NA,NA,NA,89.0639923591213,NA,30.6357357889145
"3865",2022-01-04,NA,84.44,25.9736415637464,7.95042950915222,5.15549757837328,32.7216732965482,90.4447907924709,NA,30.4652193176783
"3866",2022-01-05,40.9713050786409,87.15,25.8572355996223,7.89616008653326,5.34176477929858,32.5504212407455,92.1390053924506,NA,30.3809776363476
"3867",2022-01-06,40.8059701492537,86.31,25.9461525457365,7.93745408170338,5.37573295998004,32.3357849353284,91.5298909787948,NA,29.7050748383668
"3868",2022-01-07,40.7935560859189,84.99,26.0219495879858,7.96432028765039,5.44184760060849,32.2376738305942,91.5400263252363,NA,29.2015142178009
"3869",2022-01-10,40.9430020889287,79.73,26.0197838810019,8.08916401793274,5.61300262328758,32.3050611262431,88.4398608945917,NA,28.4086895090074
"3870",2022-01-11,41.2512685809802,80.95,26.1243044588432,7.96521450134323,5.49477940565541,32.994923857868,84.751049790042,NA,27.6839141147483
"3871",2022-01-12,42.050760205914,79.69,26.0894558800769,7.99222690812867,5.6258441522644,33.7472142629736,85.0503114518447,NA,27.6525083027443
"3872",2022-01-13,43.1241015812171,80.23,26.0591114873569,7.93236542450174,5.58905539606884,34.3380389164441,84.3832335329341,NA,28.3331878110539
"3873",2022-01-14,42.8979980934223,81.73,26.0242205617109,7.96168687982359,5.64636163175303,34.1253791708797,87.4385712573415,NA,28.246013667426
"3874",2022-01-17,42.9780639008107,80.23,25.9683811937352,8.0841593054922,5.64840542445983,34.9263543839686,86.5246529439923,NA,NA
"3875",2022-01-18,43.214307075782,82.31,26.0601753139067,8.11328081659825,5.60163097747698,35.0637811766199,88.1003842459174,NA,28.0971302428256
"3876",2022-01-19,43.8906175203447,81.72,25.9747970255147,7.78697072933324,5.63582006535493,35.1329009283988,89.3662986077772,NA,27.5637069041531
"3877",2022-01-20,44.3627890302922,85.23,26.0264119884624,8.0724853512227,5.67022505532436,35.301258705514,94.8887552615755,NA,27.4712643678161
"3878",2022-01-21,44.4069202512146,84.11,25.8816395648927,7.99543595024073,5.73845768513623,34.9550803492345,93.1788316808028,NA,26.6754850088183
"3879",2022-01-24,NA,83.66,25.816793103703,8.08669405550432,5.74047678935748,36.0567823343849,93.9256788947118,NA,25.5321027996114
"3880",2022-01-25,44.3392318162987,87.09,25.8551813931467,8.11079943899018,5.88779803646564,36.0668185269552,96.4038231780167,NA,25.931498362687
"3881",2022-01-26,44.4694457603032,88.3,26.0203702326965,8.11986195673522,5.86403299570719,36.0828005317465,99.6047904191617,NA,26.0567767197651
"3882",2022-01-27,44.45297731569,89.39,25.9810938152323,7.89566443426154,6.11772999647515,35.9780344631699,101.28559413673,NA,26.429148344252
"3883",2022-01-28,44.1426643984279,88.83,25.9309546597814,8.66655371060657,6.60934146616966,35.7075619705052,101.79065016224,NA,26.1958180023333
"3884",2022-01-31,NA,88.8,NA,NA,NA,35.545769109783,101.461077844311,NA,25.9058132288792
"3885",2022-02-01,44.9189985272459,89.09,NA,NA,NA,35.7391359352268,99.184065274778,NA,26.1158931582217
"3886",2022-02-02,45.0173030676286,93.68,NA,NA,NA,34.7309926749179,103.014290861054,NA,26.5416261169601
"3887",2022-02-03,44.8091247672253,94.32,25.4746893108349,NA,NA,34.171763824741,102.15168806467,NA,25.6425948592411
"3888",2022-02-04,44.6712542647314,95.95,25.4462202519832,NA,NA,34.1555390702275,103.875236294896,NA,26.1925563515639
"3889",2022-02-07,NA,96.21,25.4114760562558,7.98515157764487,6.87839417061937,34.4108121574489,103.159763313609,NA,25.4763153294878
"3890",2022-02-08,45.6213948610383,96.41,25.3751345651075,8.06118230673832,7.77594047126912,34.1200776310023,103.502315089636,NA,25.4073944278956
"3891",2022-02-09,47.4211111761607,90.34,25.149577663069,8.04256372185103,8.50861997855316,33.6287635929348,97.4766022983059,NA,25.3195587462791
"3892",2022-02-10,47.5801272695429,90.36,24.5067648882244,8.24923694558253,7.76940632991448,32.9422099516848,97.6619985758367,NA,25.2384702896648
"3893",2022-02-11,48.5846568598722,92.45,24.6824703039029,7.75670336653359,6.89054966914863,32.86990437846,99.9522045644641,NA,25.2268922372015
"3894",2022-02-14,49.4585894059116,91.29,24.6016090782154,8.13237914903096,7.06866785475607,32.6210287443268,100.335048462367,NA,25.2896948252985
"3895",2022-02-15,50.4356470381849,90.67,23.3988697904403,8.124313119931,7.4231737684849,32.1098029339545,100.739151168336,NA,25.0352236703064
"3896",2022-02-16,50.2084679076869,89.34,22.4131215966961,7.85805520075526,7.39573499194758,32.5866869147051,102.354206500956,NA,24.9626307922272
"3897",2022-02-17,50.0647897278831,85.95,22.0322552216445,7.84929356357928,7.28664508689793,32.5846251186333,103.632657954682,NA,25.5721830985916
"3898",2022-02-18,49.7453511784911,89.01,22.0903858798845,7.90933741222276,7.52833205868039,31.8521805273834,105.629576281359,NA,25.2716191149192
"3899",2022-02-21,48.8599348534202,89.26,22.2213992074368,7.94296784624176,7.22240031219947,31.9453273998729,105.639730639731,NA,25.3050397877984
"3900",2022-02-22,48.0111778345918,89.37,22.2250209285614,7.92441243789427,7.20705632780662,32.0369780044629,102.603166986564,NA,25.2980132450331
"3901",2022-02-23,48.3735697597795,94.66,22.2093687200136,7.90467927907758,7.22741520205978,32.1538264653187,104.555262526972,NA,25.4664426562914
"3902",2022-02-24,47.8468899521531,86.62,22.2273262749224,8.23384108686702,7.33805596172683,32.16,97.931858936043,NA,27.2093646680368
"3903",2022-02-25,47.9041916167665,87.72,22.3078633365449,8.24505550233842,7.28855581224996,32.2342677529027,99.8214498274015,NA,27.1767107482027
"3904",2022-02-28,48.7591329026025,81.81,22.4300176023648,8.16113074204947,7.2452296819788,31.0699721664833,95.2033492822967,NA,26.6333897851858
"3905",2022-03-01,48.5879137564531,68.53,NA,8.2247139848597,7.15464739028971,31.461919666145,84.8016301090735,NA,25.1572892324285
"3906",2022-03-02,47.91259765625,68.25,22.4957586900144,8.26175052081847,7.15304928512314,30.8479915988448,87.9927667269439,NA,25.024727992087
"3907",2022-03-03,48.5586083963366,67.08,22.3420127304489,8.28658117700939,7.04287840622853,30.9705200397483,86.9748913568324,NA,24.6655820679682
"3908",2022-03-04,49.3028514005778,64.78,22.3276374051827,8.40262963124211,6.96591057512299,23.875362514332,87.0002423067604,NA,24.5652571846971
"3909",2022-03-07,48.1495468277946,57.92,21.538829723585,8.30941802024911,6.9429674411829,23.8657048472999,NA,NA,22.0420199041651
"3910",2022-03-08,46.6749921948174,68.1,20.7524434328558,8.29054732157142,6.86224601108315,19.5130086724483,83.9085989176188,NA,23.2314891274429
"3911",2022-03-09,43.3775856745909,72.77,NA,8.34124313285587,6.84701009578048,19.8412698412698,81.3072984879152,NA,24.686230248307
"3912",2022-03-10,44.9971876757703,76.02,19.8574413538626,8.23849330244738,6.91624821950132,20.0937709310114,87.4880838894185,NA,25.1297459710462
"3913",2022-03-11,45.2248768011977,76.38,19.5623661571065,8.29516979175667,6.9385638987298,20.3795269277028,90.811327518222,NA,25.7952149601247
"3914",2022-03-14,44.4088077468698,77.88,19.3053038006396,8.31112257472846,6.8294500329579,20.0446898002103,93.8079391490373,NA,25.669622451778
"3915",2022-03-15,44.3585780525502,77.03,18.9165317238334,8.27140873101098,6.73653766304426,20.2076624827496,95.7728030483449,NA,25.4314674458954
"3916",2022-03-16,45.5531453362256,77.75,18.3827608909536,8.16034359341446,6.75161059413028,20.4836791330778,97.5333651096282,NA,25.6979695431472
"3917",2022-03-17,45.6869802656076,79.52,17.6648157119964,8.10257576619094,6.73366691306078,20.6185567010309,98.3400521697889,NA,25.5839119848499
"3918",2022-03-18,45.9981255857545,78.52,15.9542669257211,8.27236033260594,6.76194143739392,20.7969944988595,96.4822322919151,NA,25.5088195386703
"3919",2022-03-21,45.9206001875586,78.01,14.3548519399557,8.33653969475439,6.57375343793197,20.8277344799785,94.0473344489601,NA,25.1679680406755
"3920",2022-03-22,46.031445349498,80.29,15.2241078225048,8.2656405871455,6.56405871455038,20.995597697257,91.303824873707,NA,25.2561893534053
"3921",2022-03-23,46.3332699499271,76.25,15.5111598320619,8.34202294056309,6.66790463810762,21.1286804798255,91.4635610517469,NA,25.563431479462
"3922",2022-03-24,46.8769796021791,77.94,16.9285495887183,8.28430252484862,6.1464640694619,21.1792033886725,92.8382917466411,NA,25.7911967988359
"3923",2022-03-25,47.7747444606692,78.31,17.2829044199634,8.27956375264089,6.29675098498258,21.2197960161544,92.1441441441441,NA,26.3363992350423
"3924",2022-03-28,47.7267018337101,80.54,17.419527737248,8.3011306712466,6.41333905825104,20.8006547091318,93.906510851419,NA,27.5095645837129
"3925",2022-03-29,47.5818056685228,81.44,17.5589345089102,8.28295127925581,6.54282356605831,20.6555600704321,94.8493797991731,NA,28.4709066305819
"3926",2022-03-30,47.5356517388041,78.04,17.3289690003999,8.26131164209456,6.57939332316557,20.5248990578735,90.4145077720207,NA,28.1552527787738
"3927",2022-03-31,47.5712942651207,76.25,17.1197189388752,8.32539422981216,6.657471525872,20.631806805114,89.9667537402042,NA,28.0976050610032
"3928",2022-04-01,47.6399423305961,78.29,16.9118137920292,8.3338081941991,6.55877827796456,20.724332404702,89.4443125148421,NA,28.6347597937212
"3929",2022-04-04,48.1439249968326,78.29,16.0723405533692,NA,NA,20.9650811108056,88.730879541109,NA,29.1522333637192
"3930",2022-04-05,48.4384958572339,77.85,15.8105147451872,NA,NA,21.1982207395051,87.4505098980204,NA,29.331376685316
"3931",2022-04-06,48.3122496980484,76.97,15.8332830689426,8.65376294458707,6.74272362765743,20.6768212833414,87.1223021582734,NA,29.2848618378775
"3932",2022-04-07,48.1744421906694,79.73,15.8659738775387,8.5161662817552,6.7912817551963,20.6298996011553,91.6937131866811,NA,29.4171722743151
"3933",2022-04-08,47.8321149483237,79.89,15.6335320562209,8.67408906882591,6.7567958357432,20.5704882062534,93.2254196642686,NA,29.6156675248253
"3934",2022-04-11,47.353236327145,77.75,15.6330258838243,8.6567594863656,6.80132736978791,20.4485038511349,92.4568965517241,NA,29.3393365799871
"3935",2022-04-12,48.2564394658566,78.81,15.945604428666,8.6826910553811,6.78697017495622,20.65546681355,93.0106881229735,NA,29.3829669314613
"3936",2022-04-13,47.7498283502902,77.22,15.7718045197486,8.67892323492399,6.82741961147354,20.5352864672462,92.519874728981,NA,29.3798805695912
"3937",2022-04-14,47.956369107322,79.72,15.7656474050495,8.71636934162357,6.80893718403161,20.5521682537508,94.0707644004347,NA,29.6203934607925
"3938",2022-04-15,NA,NA,15.785349387423,8.70460909051343,6.73301513151214,NA,NA,NA,NA
"3939",2022-04-18,NA,NA,15.7708569583274,8.73973081629086,6.84612247276117,NA,NA,NA,29.5547309833024
"3940",2022-04-19,47.9550421479863,79.9,15.7446744853997,8.70094840337597,6.80124133530555,20.5142231947484,92.382788959865,NA,29.5104765436677
"3941",2022-04-20,48.2150699542004,87.53,15.5381581306401,8.61549065219264,6.65833835903621,20.6001510677745,95.8689630254125,NA,29.2165898617512
"3942",2022-04-21,47.4368545477168,86.11,15.2965374876551,8.57449088960343,6.71096820292962,20.4164965291956,96.0803174221474,NA,29.2543373938723
"3943",2022-04-22,46.7732022126613,88.6,15.5634489794399,8.56201036003254,6.64269303765858,20.1261237085737,98.1569560047562,NA,29.2199370020382
"3944",2022-04-25,NA,83.06,15.6088963240676,8.54846982390152,6.63361258334758,NA,96.2297811607992,NA,28.8488469797405
"3945",2022-04-26,46.8431771894094,82.29,15.2529983889254,8.58934348784608,6.69968792051994,20.0951168865966,96.5007684123419,NA,28.967657013915
"3946",2022-04-27,46.9913151364764,80.6,14.9638995922337,8.53180628461527,6.77338654866745,20.2524809289138,95.4378044433884,NA,28.9625769777357
"3947",2022-04-28,46.9445818901534,82.26,15.1258742306022,8.46740050804403,6.64762697512881,20.2853472175265,96.3090434369808,NA,29.2071659996188
"3948",2022-04-29,46.4931087289433,84.01,15.4353443095782,8.45119006553984,6.67902725077613,18.7491629837954,96.3029218843172,NA,28.9630964804098
"3949",2022-05-02,46.4902609334803,82.61,15.3627717595444,NA,NA,18.796992481203,96.0737656157049,NA,28.7985529322163
"3950",2022-05-03,46.4235452487303,87.75,15.4236022596143,NA,NA,18.8895635161573,98.455690187693,NA,29.106463878327
"3951",2022-05-04,46.9587724163431,87.87,15.0463050036487,NA,NA,19.1348322285246,98.3458288706414,NA,29.1592128801431
"3952",2022-05-05,46.5527760829774,88.48,NA,8.30089306159835,6.5577055186627,18.8571043044124,99.2961876832845,NA,28.842504743833
"3953",2022-05-06,46.4621925296083,91.1,15.3734785107129,8.22007114613302,6.47684916169447,18.7483230480279,103.859649122807,NA,28.821912614918
"3954",2022-05-09,45.8260921675556,86.58,15.2416356877323,8.18469180401897,6.24576653872206,18.3966300269861,101.915664057937,NA,28.6594031264803
"3955",2022-05-10,45.6636005256242,86.9,15.1813953488372,8.17926696845341,6.18521809028218,18.4220933298181,102.199087612586,NA,29.3815901966372
"3956",2022-05-11,45.8141067897165,88.41,15.1741682101176,8.18284424379232,6.13148984198646,18.8093980992608,103.670473083197,NA,28.9886785272572
"3957",2022-05-12,45.8638492015848,87.83,15.1533247738198,8.21378499709685,6.34868933482503,19.3222354340071,100.917107583774,NA,29.0683110126216
"3958",2022-05-13,46.1817084213704,88.06,15.0264089136658,8.20855387924934,6.22859407285799,19.6640447940275,99.057714958775,NA,29.1902795120546
"3959",2022-05-16,46.331579265711,89.14,14.9751038897832,8.21599569368501,6.44389041561606,19.7126628800535,100.047236655645,NA,29.2972869331799
"3960",2022-05-17,46.21138996139,91.3,15.7585830001946,8.17649961232114,6.5736237400437,19.6548737424212,101.279317697228,NA,29.4396510856168
"3961",2022-05-18,45.9696823869105,84.22,15.2836464982469,8.18480730423493,6.49281007013533,19.6091465035895,97.9945735519641,NA,29.6674947448882
"3962",2022-05-19,46.096811139912,82.79,15.3359317139587,8.16487414831916,6.58820879554029,19.709681715275,98.3384397831723,NA,29.2461741923295
"3963",2022-05-20,46.6512982285853,80.01,15.3170100601527,8.21494837329858,6.40907610158209,20.0066688896299,97.3986047061606,NA,29.3560606060606
"3964",2022-05-23,46.6630329457364,77.79,15.4326726414042,8.30703780920719,6.60111568152364,23.6021541120936,94.3240697126707,NA,29.2637290672654
"3965",2022-05-24,46.4317976513098,80.97,15.6251154337724,8.29246419863801,6.48067707311605,23.8331678252234,93.8813638486688,NA,29.3180547792063
"3966",2022-05-25,46.6808123673841,81.03,15.9700709041574,8.2614540159068,6.65397109891341,23.901208338866,94.6047826599128,NA,29.7846441947566
"3967",2022-05-26,46.5088185552066,84.39,16.6142460684551,8.16608996539792,6.43598615916955,23.5005957897524,96.8867481203008,NA,29.8862364789258
"3968",2022-05-27,47.035886187778,83.83,16.6789525022152,8.22815703228506,6.57555261139391,23.6840349589699,96.7624205321403,NA,NA
"3969",2022-05-30,46.8398321065758,83.6,16.9446949203487,8.22036141724604,6.51219818037424,23.7014287621845,95.2811362836014,NA,NA
"3970",2022-05-31,46.6585735963581,83.64,16.8007980379068,8.25186366242885,6.61407851858068,23.7362931265044,96.9593801361822,NA,30.5133699804342
"3971",2022-06-01,46.8083810451943,85.72,NA,8.29000983560489,6.60531122664044,23.9169979114734,96.882325363338,NA,31.2605673492392
"3972",2022-06-02,46.9141078078261,85.97,15.1554938665266,8.26550482621426,6.5955926647147,24.0010817388953,96.8255827574089,NA,30.6188925081433
"3973",2022-06-03,46.8351354634917,86.5,14.9198060425214,NA,NA,23.8735709482179,96.3403263403263,NA,30.6027243888785
"3974",2022-06-06,46.6104266553377,81.06,NA,8.30377751505939,6.65428137138997,23.8767823513586,95.8406561218512,NA,30.259958855433
"3975",2022-06-07,46.5736810187993,80.97,14.828172036601,8.27443060697857,6.59430046000224,23.992971073263,97.0951428907445,NA,30.1710440228059
"3976",2022-06-08,46.2779081663357,79.48,13.5160224276856,8.22689497462212,6.54665625522896,23.820707240153,95.6938918792417,NA,30.7728206085496
"3977",2022-06-09,46.2344229727289,80.67,12.223754332352,8.27501086971767,6.63263159371099,23.5644093856541,96.7871013298811,NA,30.9402675711325
"3978",2022-06-10,46.3231736816642,81.53,11.0020814748736,8.36345595010277,6.68509462045503,23.6133440514469,95.7035822992273,NA,31.2601046124584
"3979",2022-06-13,46.0945962209652,81.19,9.93333134914729,8.37604168145488,7.24740555658087,NA,94.7049218567763,NA,30.9185242121445
"3980",2022-06-14,45.5928865548726,83.79,10.0513736877373,8.4059953268365,6.72052202655725,23.2719350366409,94.5858772030872,NA,30.2477434223161
"3981",2022-06-15,45.6051569371649,85.83,11.1287639203225,8.44655051466693,6.8975390474009,23.6481953575741,96.0247143856377,NA,30.2595039739538
"3982",2022-06-16,46.4442970022317,82.61,11.9956138737002,8.38437380096349,6.78423737725419,23.5439487042479,96.108766994843,NA,29.4680951929459
"3983",2022-06-17,46.2172239595862,81.99,13.2048747381156,8.40048979126919,6.7773443061765,NA,94.7251979506288,NA,29.3960754429415
"3984",2022-06-20,46.1779599710634,83.59,14.4774843805258,8.41153338349494,6.73916438336717,23.3150340630994,95.5589229513929,NA,NA
"3985",2022-06-21,46.0122699386503,84.29,15.4464009885697,8.44431850382545,6.74553697931425,23.4074956959343,94.9662083430436,NA,28.8646080760095
"3986",2022-06-22,45.5357142857143,81.42,13.7866641378958,8.4577324819216,6.81411313626817,23.1727302523763,93.3023795705165,NA,28.0359678182679
"3987",2022-06-23,45.4789454849099,83.66,12.46372361967,8.52284833591386,6.87793860708249,23.1933433794143,93.533729465222,NA,27.9863156894422
"3988",2022-06-24,45.5008082380411,82.98,12.2767939189438,8.49665798119406,6.89362184207545,23.2848779846083,94.1518428089757,NA,28.0936137957173
"3989",2022-06-27,45.2379534218834,84.59,13.1859252185411,8.45368087354702,6.90102148643889,23.1660231660232,94.1803848829121,NA,27.8559954644241
"3990",2022-06-28,45.2145018691034,86.98,13.9073871036579,8.36061159999433,6.93080531111394,23.2481775792999,96.0023174971031,NA,28.0281422323636
"3991",2022-06-29,45.3570151388723,87.93,15.1208564806299,8.27259631156309,6.99462281239748,23.1899334607023,96.8887856977014,NA,28.4988983619121
"3992",2022-06-30,45.2623429218033,89.77,15.4123165156309,8.20971173203501,6.96040777281229,23.0536161243578,98.7452073893343,NA,29.69853081473
"3993",2022-07-01,45.2488687782805,85.18,15.1744508030275,8.321854912764,6.95018365472911,22.8847914214725,99.2338943702844,NA,29.7276563099348
"3994",2022-07-04,44.8996605728577,84.16,15.5529058012339,8.44401190748798,7.0185482024273,23.0612110430256,99.2329149232915,NA,29.747624988005
"3995",2022-07-05,45.3108091860046,82.83,15.6276743787999,8.35282325425994,7.11805807754325,23.1818783944893,98.7769365171811,NA,29.7779076563413
"3996",2022-07-06,45.2953255224061,82.85,17.129089334789,8.39797639123103,6.75562724539922,23.3084709643047,97.246954076851,NA,29.9086533739318
"3997",2022-07-07,45.443492005593,84.52,18.964536317087,8.67086003174417,7.35553465404738,23.5626767200754,96.8161912652385,NA,30.0324835121567
"3998",2022-07-08,45.014903582943,82.39,18.9628101367598,8.37052260716383,7.1887844979448,23.5642631118293,96.3356973995272,NA,29.8045762545419
"3999",2022-07-11,44.4552706899702,83.96,18.9981153869536,8.56923349683825,7.27202883990308,23.4741784037559,97.5710900473934,NA,29.674270345652
"4000",2022-07-12,44.5801526717557,85.25,19.0833867668163,8.56758792856404,7.1967738599938,23.5721982758621,97.8193884806826,NA,29.1650059784775
"4001",2022-07-13,44.4491887275833,83.47,19.8086182726885,8.72646733111849,6.82022886674049,20.8403361344538,96.1697600189148,NA,28.8270377733598
"4002",2022-07-14,44.7838863719848,83.58,19.719078967327,8.47279560823308,7.38521181989021,20.88526578185,96.0925510565459,NA,28.5543130990415
"4003",2022-07-15,44.5178254754479,84.97,19.560637977731,8.5434728395605,7.22762546025319,20.3703703703704,98.0938933992234,NA,28.1847923069297
"4004",2022-07-18,44.2300691663633,84.56,19.4462311708127,8.41047805390883,7.14452588850276,20.3170125596078,98.9626311446422,NA,27.7388817670841
"4005",2022-07-19,44.3862640038967,83.27,18.7357140180612,8.3172735571559,6.98853839131758,20.4005934718101,97.5134881538822,NA,27.8755868544601
"4006",2022-07-20,44.6015424164524,78.47,19.459912580085,8.32619396808341,7.13113682896017,20.4696169982406,92.5276535655448,NA,27.9846713176771
"4007",2022-07-21,44.6990528567064,77.76,19.4619518840667,8.44477966986742,7.03344840590642,19.6570189114078,91.8554160309823,NA,27.7278060226828
"4008",2022-07-22,44.6811115191578,75.95,19.4389616603864,8.29730555919472,6.59563008573882,19.6596840892143,90.5276765777412,NA,27.6297747306562
"4009",2022-07-25,44.6434046728399,76,19.4035642855011,8.31495240306478,7.03796145809148,19.7440087145969,89.8750589344649,NA,27.3679060665362
"4010",2022-07-26,44.7342458996177,76.34,20.3767433435972,8.37168529476222,7.04945576740449,19.8902606310014,91.4160028534063,NA,27.6745105793949
"4011",2022-07-27,44.5371449604319,75.8,20.6385182294403,8.33065388325392,6.89398146794891,19.8834418923552,90.715137067938,NA,27.9847088806116
"4012",2022-07-28,49.836450040116,78.63,21.8839921247918,8.60290362588458,6.93368351936966,19.3612500856692,93.0260329591593,NA,27.7461749705767
